"5";"PcAtendimento";"TPageControl";"pnlPrincipal";"0";"0";"0";"1898";"";"";"";
"6";"TabQpHma";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Q.P. / H.M.A.";"";"";
"7";"Panel2";"TPanel";"TabQpHma";"0";"0";"0";"937";"";"";"";

"9";"Panel3";"TPanel";"Panel2";"1";"1";"1";"723";"";"";"";
"10";"Panel6";"TPanel";"Panel3";"1";"1";"1";"721";"";"";"";
"11";"LblQp";"TLabel";"Panel6";"10";"10";"5";"78";"Q.P. (244 ) ";"";"";
"11";"DbQp";"TDBMemo";"Panel3";"1";"1";"25";"721";"";"DsAtendimento";"V_QP";
"10";"pnHma";"TPanel";"Panel2";"736";"736";"1";"961";"";"";"";
"11";"Panel5";"TPanel";"pnHma";"1";"1";"1";"198";"";"";"";
"12";"LblHma";"TLabel";"Panel5";"1";"1";"1";"78";"H.M.A. (0 ) ";"";"";
"12";"DbHma";"TDBMemo";"pnHma";"1";"1";"25";"198";"";"DsAtendimento";"V_HMA";
"7";"TabServicalMembrosCuperiores";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Cervical / Membros Superiores";"";"";
"8";"SbServicalMembrosSuperiores";"TScrollBox";"TabServicalMembrosCuperiores";"0";"0";"0";"1890";"";"";"";
"9";"Label22";"TLabel";"SbServicalMembrosSuperiores";"5";"5";"434";"169";"Observação (4000 char)";"";"";
"10";"Label89";"TLabel";"SbServicalMembrosSuperiores";"10";"10";"255";"52";"cirurgia";"";"";
"11";"Label90";"TLabel";"SbServicalMembrosSuperiores";"10";"10";"310";"44";"fratura";"";"";
"12";"Label91";"TLabel";"SbServicalMembrosSuperiores";"10";"10";"371";"53";"luxação";"";"";
"13";"DBCheckBox38";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"20";"146";"Dores Cervicais";"DsCervical";"DORCERVICAL";
"14";"DBCheckBox39";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"20";"185";"Torcicolos Recidivantes";"DsCervical";"DORCE_TORCICOLO";
"15";"DBCheckBox42";"TDBCheckBox";"SbServicalMembrosSuperiores";"394";"394";"20";"193";"Dores nos Ombros";"DsCervical";"DORCE_DOROMBRO";
"16";"DBCheckBox47";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"50";"154";"Hérnias Cervicais";"DsCervical";"HERNIACERVICAL";
"17";"DBCheckBox54";"TDBCheckBox";"SbServicalMembrosSuperiores";"570";"570";"50";"274";"Processos Degenerativos Cervicais";"DsCervical";"PROCESSODEGENCERVICAL";
"18";"DBCheckBox57";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"80";"120";"Dores Cotovelos";"DsCervical";"DORCOTOVELO";
"19";"DBCheckBox58";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"80";"79";"Direito";"DsCervical";"DORCOTOVELO_D";
"20";"DBCheckBox59";"TDBCheckBox";"SbServicalMembrosSuperiores";"394";"394";"80";"218";"Esquerdo";"DsCervical";"DORCOTOVELO_E";
"21";"DBCheckBox63";"TDBCheckBox";"SbServicalMembrosSuperiores";"570";"570";"79";"79";"Bilateral";"DsCervical";"DORCOTOVELO_BILATERAL";
"22";"DBCheckBox66";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"110";"120";"Dores Punhos";"DsCervical";"DORPUNHO";
"23";"DBCheckBox67";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"110";"79";"Direito";"DsCervical";"DORPUNHO_D";
"24";"DBCheckBox68";"TDBCheckBox";"SbServicalMembrosSuperiores";"394";"394";"110";"205";"Esquerdo";"DsCervical";"DORPUNHO_E";
"25";"DBCheckBox69";"TDBCheckBox";"SbServicalMembrosSuperiores";"570";"570";"109";"79";"Bilateral";"DsCervical";"DORPUNHO_BILATERAL";
"26";"DBCheckBox72";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"170";"120";"Braquialgias";"DsCervical";"BRAQUIALGIA";
"27";"DBCheckBox73";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"170";"130";"Direito";"DsCervical";"BRAQUIALGIA_D";
"28";"DBCheckBox74";"TDBCheckBox";"SbServicalMembrosSuperiores";"393";"393";"172";"203";"Esquerdo";"DsCervical";"BRAQUIALGIA_E";
"29";"DBCheckBox75";"TDBCheckBox";"SbServicalMembrosSuperiores";"570";"570";"169";"79";"Bilateral";"DsCervical";"BRAQUIALGIA_BILATERAL";
